Network Slice ID,Timestamp,Device ID,Traffic Load (bps),Traffic Type,Network Utilization (%),Latency (ms),Packet Loss Rate (%),Signal Strength (dBm),Bandwidth Utilization (%),Network Slice Failure,QoS Metric (Throughput),Overload Status,Device Type,Region,Network Failure Count,Time of Day,Weather Conditions,Congestion Score,Congestion Class
3,2025-01-01 00:00:00,194,0.6835965669821316,3,0.8022251590121883,0.4094621949859439,0.7179506755817758,0.0518916935749937,0.9826182399611004,0,0.175968109641723,0,2,0,0,1,0,0.703256717796786,High
4,2025-01-01 01:00:00,197,0.1348823906482314,2,0.4346291099821933,0.6628685654932077,0.6799898624783411,0.8564191232033331,0.1805766267075279,0,0.6268090456967248,1,0,1,2,2,1,0.3984871991474989,Low
1,2025-01-01 02:00:00,159,0.3434397841899556,0,0.8699715264654251,0.4654701398825064,0.831167479582426,0.9282508019665484,0.590927834779766,1,0.5797029143592672,1,2,2,3,1,1,0.5318843572827281,Medium
3,2025-01-01 03:00:00,163,0.1710599531699326,0,0.1805574298544365,0.6314423107182712,0.0414582998554949,0.0895930745920288,0.0894761573815272,1,0.3396262004023247,1,2,1,0,0,0,0.3569725916892664,Low
3,2025-01-01 04:00:00,187,0.9437304689238878,1,0.9481850635855706,0.4501923336674747,0.0229640508756978,0.112489150752256,0.7338519597018451,0,0.5165376855557023,0,1,2,0,1,2,0.6995885848793758,High
4,2025-01-01 05:00:00,134,0.2724579553244718,0,0.218701361565095,0.1888505158742898,0.3730301030589349,0.0320461338418303,0.9948271664654622,0,0.5885688088673263,1,0,0,0,0,2,0.36170752777981535,Low
1,2025-01-01 06:00:00,169,0.9390474621842754,2,0.3262340704483983,0.5085746519344994,0.1487025915260504,0.1035481968457605,0.8191545609509114,1,0.8893835784069528,1,0,3,3,2,1,0.5748084727471118,High
1,2025-01-01 07:00:00,182,0.5313331879167743,2,0.7565415766875792,0.5292911760999244,0.5584973469257826,0.2087085017344208,0.5556331270095072,1,0.0545503300608057,1,1,3,3,1,0,0.6302952531497775,High
3,2025-01-01 08:00:00,129,0.3095480809465728,0,0.3938214450580644,0.8117162463047753,0.9176357875638556,0.9711637732164516,0.484647686895445,1,0.8231916352682672,0,0,0,1,1,1,0.480156432914225,Medium
2,2025-01-01 09:00:00,170,0.3436779409015233,1,0.6084451562115016,0.7365251664589992,0.3915116885695608,0.6682328270519122,0.8350510926095542,0,0.9801591397136036,0,0,1,4,1,1,0.4938276367977035,Medium
